Wavelength(nm),PHATh
820.593,0.135
820.909,0.135
821.225,0.135
821.542,0.135
821.858,0.135
822.174,0.135
822.49,0.135
822.806,0.135
823.122,0.135
823.438,0.135
823.754,0.135
824.07,0.135
824.386,0.136
824.702,0.136
825.018,0.136
825.333,0.136
825.649,0.136
825.965,0.136
826.28,0.136
826.596,0.136
826.911,0.136
827.226,0.136
827.542,0.136
827.857,0.136
828.172,0.136
828.487,0.137
828.803,0.137
829.118,0.137
829.433,0.137
829.748,0.137
830.063,0.137
830.377,0.137
830.692,0.138
831.007,0.138
831.322,0.138
831.636,0.138
831.951,0.139
832.266,0.139
832.58,0.139
832.895,0.139
833.209,0.14
833.523,0.14
833.838,0.14
834.152,0.14
834.466,0.14
834.78,0.14
835.094,0.14
835.408,0.14
835.722,0.141
836.036,0.141
836.35,0.14
836.664,0.141
836.978,0.141
837.291,0.141
837.605,0.141
837.919,0.141
838.232,0.14
838.546,0.141
838.859,0.141
839.173,0.141
839.486,0.141
839.799,0.141
840.113,0.141
840.426,0.141
840.739,0.141
841.052,0.141
841.365,0.141
841.678,0.141
841.991,0.141
842.304,0.141
842.617,0.141
842.93,0.141
843.243,0.14
843.555,0.14
843.868,0.14
844.18,0.141
844.493,0.141
844.805,0.141
845.118,0.141
845.43,0.14
845.743,0.14
846.055,0.14
846.367,0.139
846.679,0.139
846.991,0.14
847.303,0.14
847.615,0.14
847.927,0.14
848.239,0.14
848.551,0.14
848.863,0.141
849.175,0.141
849.486,0.141
849.798,0.141
850.11,0.141
850.421,0.141
850.733,0.141
851.044,0.141
851.356,0.141
851.667,0.141
851.978,0.141
852.289,0.141
852.601,0.142
852.912,0.142
853.223,0.142
853.534,0.142
853.845,0.143
854.156,0.143
854.467,0.143
854.777,0.143
855.088,0.143
855.399,0.144
855.71,0.144
856.02,0.144
856.331,0.144
856.641,0.144
856.952,0.144
857.262,0.144
857.573,0.144
857.883,0.144
858.193,0.144
858.503,0.145
858.813,0.145
859.123,0.145
859.434,0.145
859.743,0.145
860.053,0.145
860.363,0.145
860.673,0.145
860.983,0.145
861.293,0.145
861.602,0.145
861.912,0.146
862.221,0.146
862.531,0.146
862.84,0.146
863.15,0.146
863.459,0.147
863.769,0.147
864.078,0.148
864.387,0.148
864.696,0.148
865.005,0.149
865.314,0.149
865.623,0.149
865.932,0.149
866.241,0.149
866.55,0.149
866.859,0.149
867.167,0.149
867.476,0.148
867.785,0.148
868.093,0.148
868.402,0.148
868.71,0.148
869.019,0.148
869.327,0.148
869.635,0.148
869.944,0.149
870.252,0.149
870.56,0.149
870.868,0.149
871.176,0.149
871.484,0.15
871.792,0.15
872.1,0.15
872.408,0.15
872.715,0.15
873.023,0.15
873.331,0.15
873.638,0.151
873.946,0.151
874.254,0.151
874.561,0.151
874.868,0.151
875.176,0.152
875.483,0.152
875.79,0.152
876.098,0.152
876.405,0.152
876.712,0.152
877.019,0.152
877.326,0.152
877.633,0.153
877.94,0.153
878.246,0.153
878.553,0.153
878.86,0.153
879.167,0.153
879.473,0.153
879.78,0.153
880.086,0.153
880.393,0.154
880.699,0.154
881.006,0.155
881.312,0.155
881.618,0.155
881.924,0.156
882.23,0.156
882.537,0.156
882.843,0.156
883.149,0.156
883.455,0.156
883.76,0.156
884.066,0.156
884.372,0.156
884.678,0.156
884.983,0.157
885.289,0.157
885.595,0.158
885.9,0.158
886.206,0.158
886.511,0.158
886.816,0.158
887.122,0.158
887.427,0.158
887.732,0.158
888.037,0.159
888.342,0.159
888.647,0.159
888.952,0.16
889.257,0.16
889.562,0.16
889.867,0.161
890.172,0.16
890.476,0.161
890.781,0.161
891.086,0.162
891.39,0.162
891.695,0.163
891.999,0.163
892.304,0.163
892.608,0.163
892.912,0.163
893.217,0.163
893.521,0.163
893.825,0.163
894.129,0.163
894.433,0.163
894.737,0.163
895.041,0.164
895.345,0.164
895.649,0.164
895.952,0.165
896.256,0.166
896.56,0.166
896.863,0.167
897.167,0.167
897.47,0.167
897.774,0.166
898.077,0.166
898.38,0.166
898.684,0.166
898.987,0.165
899.29,0.165
899.593,0.165
899.896,0.165
900.199,0.165
900.502,0.164
900.805,0.164
901.108,0.164
901.411,0.164
901.714,0.164
902.016,0.163
902.319,0.163
902.622,0.163
902.924,0.163
903.227,0.163
903.529,0.163
903.831,0.163
904.134,0.162
904.436,0.162
904.738,0.163
905.04,0.163
905.343,0.164
905.645,0.164
905.947,0.164
906.249,0.165
906.55,0.165
906.852,0.165
907.154,0.165
907.456,0.165
907.758,0.164
908.059,0.164
908.361,0.164
908.662,0.163
908.964,0.162
909.265,0.162
909.567,0.162
909.868,0.162
910.169,0.162
910.47,0.162
910.771,0.162
911.073,0.163
911.374,0.163
911.675,0.163
911.975,0.163
912.276,0.163
912.577,0.163
912.878,0.163
913.179,0.163
913.479,0.163
913.78,0.163
914.081,0.163
914.381,0.163
914.682,0.163
914.982,0.164
915.282,0.164
915.583,0.164
915.883,0.165
916.183,0.165
916.483,0.165
916.783,0.165
917.083,0.166
917.383,0.166
917.683,0.166
917.983,0.166
918.283,0.166
918.583,0.166
918.882,0.166
919.182,0.166
919.482,0.166
919.781,0.166
920.081,0.166
920.38,0.166
920.679,0.167
920.979,0.167
921.278,0.168
921.577,0.169
921.876,0.169
922.175,0.169
922.475,0.17
922.774,0.17
923.073,0.171
923.371,0.172
923.67,0.173
923.969,0.173
924.268,0.174
924.566,0.174
924.865,0.174
925.164,0.175
925.462,0.175
925.761,0.176
926.059,0.177
926.357,0.177
926.656,0.178
926.954,0.178
927.252,0.178
927.55,0.178
927.848,0.177
928.146,0.177
928.444,0.178
928.742,0.178
929.04,0.179
929.338,0.179
929.636,0.179
929.934,0.178
930.231,0.179
930.529,0.179
930.826,0.18
931.124,0.181
931.421,0.182
931.719,0.182
932.016,0.183
932.313,0.184
932.611,0.185
932.908,0.186
933.205,0.186
933.502,0.187
933.799,0.187
