Wavelength(nm),PHAN
882.537,0.262
882.843,0.261
883.149,0.261
883.455,0.261
883.76,0.26
884.066,0.26
884.372,0.26
884.678,0.259
884.983,0.259
885.289,0.259
885.595,0.259
885.9,0.259
886.206,0.258
886.511,0.259
886.816,0.259
887.122,0.259
887.427,0.259
887.732,0.259
888.037,0.259
888.342,0.258
888.647,0.258
888.952,0.259
889.257,0.259
889.562,0.258
889.867,0.258
890.172,0.258
890.476,0.258
890.781,0.258
891.086,0.258
891.39,0.258
891.695,0.258
891.999,0.258
892.304,0.257
892.608,0.257
892.912,0.256
893.217,0.256
893.521,0.255
893.825,0.255
894.129,0.254
894.433,0.255
894.737,0.255
895.041,0.255
895.345,0.255
895.649,0.255
895.952,0.255
896.256,0.255
896.56,0.255
896.863,0.255
897.167,0.255
897.47,0.255
897.774,0.255
898.077,0.255
898.38,0.255
898.684,0.254
898.987,0.254
899.29,0.254
899.593,0.254
899.896,0.254
900.199,0.254
900.502,0.254
900.805,0.254
901.108,0.254
901.411,0.253
901.714,0.253
902.016,0.252
902.319,0.252
902.622,0.253
902.924,0.253
903.227,0.253
903.529,0.254
903.831,0.254
904.134,0.254
904.436,0.254
904.738,0.254
905.04,0.254
905.343,0.255
905.645,0.255
905.947,0.256
906.249,0.256
906.55,0.256
906.852,0.256
907.154,0.256
907.456,0.256
907.758,0.256
908.059,0.256
908.361,0.256
908.662,0.256
908.964,0.256
909.265,0.256
909.567,0.256
909.868,0.256
910.169,0.256
910.47,0.256
910.771,0.256
911.073,0.255
911.374,0.255
911.675,0.254
911.975,0.254
912.276,0.253
912.577,0.253
912.878,0.253
913.179,0.253
913.479,0.253
913.78,0.253
914.081,0.253
914.381,0.254
914.682,0.254
914.982,0.254
915.282,0.254
915.583,0.253
915.883,0.252
916.183,0.252
916.483,0.251
916.783,0.251
917.083,0.25
917.383,0.25
917.683,0.25
917.983,0.249
918.283,0.249
918.583,0.249
918.882,0.248
919.182,0.248
919.482,0.248
919.781,0.248
920.081,0.248
920.38,0.248
920.679,0.248
920.979,0.248
921.278,0.248
921.577,0.248
921.876,0.248
922.175,0.248
922.475,0.248
922.774,0.249
923.073,0.249
923.371,0.249
923.67,0.25
923.969,0.251
924.268,0.251
924.566,0.252
924.865,0.253
925.164,0.253
925.462,0.254
925.761,0.254
926.059,0.254
926.357,0.255
926.656,0.254
926.954,0.254
927.252,0.254
927.55,0.254
927.848,0.255
928.146,0.255
928.444,0.256
928.742,0.257
929.04,0.258
929.338,0.259
929.636,0.259
929.934,0.26
930.231,0.261
930.529,0.261
930.826,0.262
931.124,0.263
931.421,0.264
931.719,0.265
932.016,0.266
932.313,0.268
932.611,0.269
932.908,0.27
933.205,0.271
933.502,0.272
933.799,0.273
